epoch,phase,loss,acc,val_macro_f1,val_f1_curling
1,train,0.004522,0.870370,,
1,val,0.002076,0.958904,0.958835,0.960526
2,train,0.001305,0.967340,,
2,val,0.002609,0.945205,0.945040,0.948052
3,train,0.000934,0.972559,,
3,val,0.004472,0.924658,0.924227,0.929936
4,train,0.000861,0.983502,,
4,val,0.002795,0.972603,0.972582,0.973333
5,train,0.000385,0.992256,,
5,val,0.000811,0.993151,0.993150,0.993197
1,train,0.003643,0.898316,,
1,val,0.005322,0.958904,0.958835,0.960526
2,train,0.001296,0.964646,,
2,val,0.002361,0.958904,0.958835,0.960526
3,train,0.001108,0.973737,,
3,val,0.003267,0.952055,0.951944,0.954248
4,train,0.001451,0.973906,,
4,val,0.000192,0.993151,0.993150,0.993197
5,train,0.000248,0.991919,,
5,val,0.003427,0.979452,0.979443,0.979866
6,train,0.000325,0.993603,,
6,val,0.031635,0.883562,0.881961,0.868217
7,train,0.000234,0.993098,,
7,val,0.008293,0.965753,0.965713,0.964539
